time/total_timesteps,env/d_right_mean,env/d_left_mean,env/reward_total_mean,time/iterations,env/reward_dist_mean,time/time_elapsed,env/reward_ctrl_mean,env/reward_climb_mean,env/reward_shaping_mean,env/success_rate,time/fps,train/clip_fraction,train/value_loss,train/explained_variance,train/approx_kl,train/std,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,eval/mean_reward,eval/mean_ep_length,eval/success_rate
26624,0.06443798169345565,0.013250152077654277,-0.06443768780143065,13,-0.06443798169345565,49,0.0,0.0,2.9389202498893847e-07,0.0,533,0.1501953125,0.7576924793422222,0.2256678342819214,0.012702182,0.7448919415473938,-6.57867311835289,0.36880433559417725,3770,0.2,0.0001,-0.01092416800383944,3615.0,-207.44954,0.2857142857142857,,,
28672,0.06488187583767697,0.013172417457985492,-0.06488076591108766,14,-0.06488187583767697,54,0.0,0.0,1.1099265893292978e-06,0.0,530,0.072265625,0.1638922026962973,0.9010866284370422,0.0063885497,0.7457219958305359,-6.573760227859021,0.06360850483179092,3780,0.2,0.0001,-0.00326690921356203,3615.0,-207.44954,0.2857142857142857,,,
30720,0.06485150649289094,0.013264708287355884,-0.06485058340499256,15,-0.06485150649289094,58,0.0,0.0,9.2308789837129e-07,0.0,528,0.117431640625,0.015979223998147062,0.5060094594955444,0.008531874,0.7454854846000671,-6.575746475160122,-0.012766432948410511,3790,0.2,0.0001,6.582632777281105e-05,3788.125,-223.33909225,0.25,,,
32768,0.06464183029649553,0.013251284185376237,-0.06464093647457458,16,-0.06464183029649553,62,0.0,0.0,8.93821920943394e-07,0.0,525,0.139599609375,0.010293605325568934,0.8959745764732361,0.0072090225,0.7454307675361633,-6.573985120654106,0.007528370246291161,3800,0.2,0.0001,-0.002968456804228481,3788.125,-223.33909225,0.25,,,
34816,0.06462407754904252,0.013361699485986029,-0.06462441037919117,17,-0.06462407754904252,66,0.0,0.0,-3.3283014866693215e-07,0.0,523,0.194921875,0.002840389683842659,0.496955931186676,0.010463217,0.7438473701477051,-6.569566214084626,-0.006911750882863998,3810,0.2,0.0001,-0.00551030362075835,3788.125,-223.33909225,0.25,,,
36864,0.06515800875067441,0.013343025517054853,-0.06515777874082568,18,-0.06515800875067441,70,0.0,0.0,2.3000984872550284e-07,0.0,523,0.15263671875,0.0022667430306682946,0.6950698494911194,0.013930868,0.7410173416137695,-6.549800714850425,0.00878959707915783,3820,0.2,0.0001,-0.005084260884905234,3922.777777777778,-235.5999141111111,0.2222222222222222,,,
38912,0.06525859950727955,0.01328513734448075,-0.06525731083180229,19,-0.06525859950727955,74,0.0,0.0,1.288675477245406e-06,0.0,524,0.14365234375,0.006134916879818775,0.9340593814849854,0.008201928,0.7419831156730652,-6.542067152261734,0.00816156156361103,3830,0.2,0.0001,-0.005795732623664662,3922.777777777778,-235.5999141111111,0.2222222222222222,,,
40960,0.067134372085969,0.013124299525623984,-0.06713430505024012,20,-0.067134372085969,78,0.0,0.0,6.703572885936871e-08,0.0,524,0.166748046875,0.0006135519781082621,0.5960098505020142,0.008437241,0.7403742671012878,-6.542011968791485,-0.024055374786257744,3840,0.2,0.0001,-0.003978828330582473,4030.5,-245.7383441,0.2,,,
43008,0.0666422664599159,0.013462915480860245,-0.06664136370284476,21,-0.0666422664599159,82,0.0,0.0,9.027570711338945e-07,0.0,524,0.135302734375,0.00291303739304567,0.9894417524337769,0.0102359615,0.740581750869751,-6.535586506128311,-0.002069946611300111,3850,0.2,0.0001,-0.005994399755581981,4030.5,-245.7383441,0.2,,,
45056,0.0656191787727014,0.013483972611285524,-0.06561858670400239,22,-0.0656191787727014,85,0.0,0.0,5.92068699019066e-07,0.0,525,0.19423828125,0.0004922030860370797,0.826108455657959,0.011409702,0.741009533405304,-6.5388673260807995,-0.011106451041996479,3860,0.2,0.0001,-0.007932443091704044,4030.5,-245.7383441,0.2,,,
