env/d_right_mean,env/reward_dist_mean,env/reward_total_mean,env/reward_ctrl_mean,time/time_elapsed,time/fps,env/d_left_mean,time/iterations,env/success_rate,env/reward_climb_mean,time/total_timesteps,env/reward_shaping_mean,train/std,train/clip_range,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,eval/success_rate,eval/mean_reward,eval/mean_ep_length
0.06450999777415728,-0.06450999777415728,-0.06450884015612361,0.0,42,532,0.013171780260120825,11,0.0,0.0,22528,1.157618033677324e-06,0.7512055039405823,0.2,3750,0.007623185,-6.6383710041642185,0.9224902391433716,-0.0004619412502506748,0.102880859375,0.010325063299387694,0.0001,-0.0005784833338111639,5000.0,-356.6793465,0.0,,,
0.06430828386928032,-0.06430828386928032,-0.06430905323800629,0.0,46,530,0.013230996673226168,12,0.0,0.0,24576,-7.69368725956135e-07,0.7529110908508301,0.2,3760,0.01123031,-6.639584708213806,0.2679099440574646,0.0012372741315630265,0.11904296875,0.00023470349797207745,0.0001,0.004278859123587608,5000.0,-356.6793465,0.0,,,
0.0643157763986313,-0.0643157763986313,-0.06431548147457358,0.0,50,529,0.013227448647354983,13,0.0,0.0,26624,2.94924057712663e-07,0.7521331310272217,0.2,3770,0.011913411,-6.64223926961422,0.34203702211380005,-0.0013938579693785868,0.1181640625,0.0001562864788979823,0.0001,-0.013256789185106754,5000.0,-352.4301422,0.0,,,
0.06443177314439975,-0.06443177314439975,-0.06443190108318111,0.0,54,527,0.013152760444922395,14,0.0,0.0,28672,-1.2793878135648056e-07,0.7507529258728027,0.2,3780,0.017521795,-6.633669428527355,0.9887276887893677,-0.005072434082103427,0.1287109375,0.0027995118632588856,0.0001,-0.01964564435184002,5000.0,-352.4301422,0.0,,,
0.06480803173086301,-0.06480803173086301,-0.06480556412640227,0.0,58,525,0.013166980665804578,15,0.0,0.0,30720,2.467604460729099e-06,0.751378059387207,0.2,3790,0.006659982,-6.628313687443733,0.429446280002594,-0.000320750119863078,0.086181640625,0.0001578073792302348,0.0001,-0.00900560338050127,5000.0,-349.305118,0.0,,,
0.06457795270349212,-0.06457795270349212,-0.06457827933470449,0.0,62,523,0.013140560601845762,16,0.0,0.0,32768,-3.266312123828205e-07,0.749678373336792,0.2,3800,0.0054157255,-6.624612843990326,0.9845283031463623,-0.004865897764102556,0.106591796875,0.0016483443994275149,0.0001,0.00777107197791338,5000.0,-349.305118,0.0,,,
0.06449876854429189,-0.06449876854429189,-0.06449583281850292,0.0,66,523,0.01322138282781953,17,0.0,0.0,34816,2.9357257889676967e-06,0.7496054172515869,0.2,3810,0.0057779737,-6.616612979769707,0.40519821643829346,0.00015055292169563472,0.09521484375,0.00012494650543430906,0.0001,-0.012450529262423515,5000.0,-349.305118,0.0,,,
0.06464877503655352,-0.06464877503655352,-0.06464887802883909,0.0,70,522,0.013176841131240775,18,0.0,0.0,36864,-1.0299228557171525e-07,0.7505497336387634,0.2,3820,0.0071460046,-6.616891531646251,0.4906342625617981,0.001135783097561216,0.077294921875,7.615296573248997e-05,0.0001,-0.008786517195403576,5000.0,-347.26957385714286,0.0,,,
0.06466459466721593,-0.06466459466721593,-0.06466448301194774,0.0,74,520,0.013204271030266885,19,0.0,0.0,38912,1.1165526818835564e-07,0.750796377658844,0.2,3830,0.006871655,-6.621694710850716,0.9875949025154114,-0.000558877636649413,0.126904296875,0.0012813636042437794,0.0001,-0.03858611732721329,5000.0,-347.26957385714286,0.0,,,
0.08356552428867307,-0.08356552428867307,-0.08356560872620414,0.0,78,520,0.01390111467030669,20,0.0,0.0,40960,-8.443753104485363e-08,0.7488396763801575,0.2,3840,0.006052139,-6.61424643099308,0.5953629612922668,-0.00034191115846624596,0.09013671875,9.060237301810048e-05,0.0001,0.007500662934035063,5000.0,-345.57996337500003,0.0,,,
0.08292543694260607,-0.08292543694260607,-0.0829260739738436,0.0,82,522,0.014027787549471017,21,0.0,0.0,43008,-6.370312375377982e-07,0.7489001154899597,0.2,3850,0.0043624947,-6.604524636268616,0.9437182545661926,-0.003387228213250637,0.06025390625,0.01067626636577188,0.0001,-0.01894785277545452,5000.0,-345.57996337500003,0.0,,,
0.12210766061330017,-0.12210766061330017,-0.12188875282542626,0.0,85,524,0.01342194541289094,22,0.0,0.0,45056,0.00021890778787390523,0.7461434006690979,0.2,3860,0.013615818,-6.593606171011925,0.40437185764312744,-0.004644457531685475,0.145556640625,0.0021340127049370495,0.0001,0.009938331320881844,5000.0,-354.1145258888889,0.0,,,
0.06529882878848431,-0.06529882878848431,-0.06529880899306306,0.0,89,524,0.01304992067800769,23,0.0,0.0,47104,1.9795421248684775e-08,0.7441937327384949,0.2,3870,0.0060362895,-6.572182615101338,0.9756449460983276,-0.0067357776388234925,0.12763671875,0.0019020923658899847,0.0001,-0.012781753204762936,5000.0,-354.1145258888889,0.0,,,
0.06529870951011892,-0.06529870951011892,-0.06530007365939924,0.0,93,523,0.01297636499481699,24,0.0,0.0,49152,-1.364149280334015e-06,0.7446524500846863,0.2,3880,0.005512205,-6.563777908682823,0.3346119523048401,-0.000531654933001846,0.083984375,0.004734712891513481,0.0001,0.013395551592111588,5000.0,-354.1145258888889,0.0,,,
0.06552131391975453,-0.06552131391975453,-0.06552200497133855,0.0,,,0.012928115647525384,,0.0,0.0,50000,-6.91051584012746e-07,0.7434270977973938,0.2,3890,0.010489131,-6.564367893338203,0.03138488531112671,0.00048593052051728593,0.099365234375,0.0010629783128933922,0.0001,-0.005588374100625515,,,,0.0,-341.120595,5000.0
0.08297707269526178,-0.08297707269526178,-0.08297654012424326,0.0,119,427,0.013988990750740015,25,0.0,0.0,51200,5.325710185174332e-07,,,,,,,,,,,,4561.363636363636,-304.4186899090909,0.09090909090909091,,,
0.0816623688710883,-0.0816623688710883,-0.08166181006127995,0.0,123,431,0.014271979364858222,26,0.0,0.0,53248,5.588098083382855e-07,0.7435358166694641,0.2,3900,0.008203046,-6.559983821213246,0.019878268241882324,-0.000376029968902003,0.06376953125,123.48946577922906,0.0001,3.845207452774048,4561.363636363636,-304.4186899090909,0.09090909090909091,,,
0.1236846509351637,-0.1236846509351637,-0.1234274006457331,0.0,127,434,0.012769353232800823,27,0.0,0.0,55296,0.0002572502894306107,0.743412971496582,0.2,3910,0.005539515,-6.559463404119015,0.4616171717643738,-0.002814473520265892,0.101416015625,0.2515483452240005,0.0001,0.10868524014949799,4597.916666666667,-313.96200116666665,0.08333333333333333,,,
0.06544318815814006,-0.06544318815814006,-0.06544311228252989,0.0,131,436,0.01290651263935793,28,0.0,0.0,57344,7.587561017943777e-08,0.7430868744850159,0.2,3920,0.0056484775,-6.554964834451676,0.8356093168258667,-0.0010855091590201483,0.07109375,0.09720177408307791,0.0001,0.04006887227296829,4597.916666666667,-313.96200116666665,0.08333333333333333,,,
0.06489503964148483,-0.06489503964148483,-0.06489661668605634,0.0,135,438,0.012973847487586286,29,0.0,0.0,59392,-1.5770445715083958e-06,0.74168461561203,0.2,3930,0.012340705,-6.551661947369576,0.46800243854522705,0.00028866052452940493,0.111474609375,0.012859875014692079,0.0001,-0.007240794133394957,4597.916666666667,-313.96200116666665,0.08333333333333333,,,
0.06553992394240515,-0.06553992394240515,-0.06553766426284668,0.0,139,440,0.013035308564259456,30,0.0,0.0,61440,2.2596795584729073e-06,0.7427836060523987,0.2,3940,0.0062951525,-6.551057049632073,0.21868830919265747,0.002191705058794469,0.100634765625,0.005347115975018824,0.0001,0.007340875454246998,4310.571428571428,-302.72167007142855,0.14285714285714285,,,
0.06483018636472818,-0.06483018636472818,-0.06483088135786111,0.0,143,442,0.013044245253946025,31,0.0,0.0,63488,-6.949931329298595e-07,0.742804765701294,0.2,3950,0.0016655189,-6.557390408217907,0.05678975582122803,0.0012268641899936482,0.0724609375,205.65753469313495,0.0001,3.075498342514038,4310.571428571428,-302.72167007142855,0.14285714285714285,,,
0.11793895189748836,-0.11793895189748836,-0.11767657490256354,0.0,147,444,0.012609541281319012,32,0.0,0.0,65536,0.00026237699492480935,0.7436478734016418,0.2,3960,0.0067979926,-6.559139889478684,0.5323162078857422,-0.0045162584952777255,0.112109375,0.28398976479656995,0.0001,0.11321127414703369,4356.533333333334,-304.98177219999997,0.13333333333333333,,,
0.08237042614281397,-0.08237042614281397,-0.08237176344010085,0.0,151,446,0.014244918778721933,33,0.0,0.0,67584,-1.337297286875365e-06,0.7433134913444519,0.2,3970,0.010098709,-6.561322200298309,0.7882021069526672,-0.005588111962424591,0.126513671875,0.13898804162163286,0.0001,0.05018262565135956,4356.533333333334,-304.98177219999997,0.13333333333333333,,,
